,premise,text
109,Holy communion cannot be the cause of the spread of coronavirus,Baptism in the era of #Coronavirus HTTPURL
110,Holy communion cannot be the cause of the spread of coronavirus,So scary #Coronavirus
111,Holy communion cannot be the cause of the spread of coronavirus,Mosques and churches are a very strong factor in the spread of covid 19 I think reducing the number of visitors is better . Because covid 19 is not treated yet #COVID19
112,Holy communion cannot be the cause of the spread of coronavirus,The #coronavirus is a form of biological warfare from China
113,Holy communion cannot be the cause of the spread of coronavirus,What a waste #coronavirus
114,Holy communion cannot be the cause of the spread of coronavirus,#Save the #people #infected with the #coronavirus
115,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
116,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
117,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
118,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
119,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
120,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
121,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
122,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
123,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus
124,Holy communion cannot be the cause of the spread of coronavirus,"Together , we can prevent the spread of Corona Virus . Safety is key #COVID19 HTTPURL"
125,Holy communion cannot be the cause of the spread of coronavirus,Precaution and not panic will help us stop the spread of #coronavirus Stay at home . Be kind and support one another . HTTPURL
126,Holy communion cannot be the cause of the spread of coronavirus,What a time to be alive for the time being . #CoronaVirusUpdate
127,Holy communion cannot be the cause of the spread of coronavirus,I found this link to be a reliable source to track the spread of #coronavirus HTTPURL
128,Holy communion cannot be the cause of the spread of coronavirus,At least the horses are running #coronavirus
129,Holy communion cannot be the cause of the spread of coronavirus,"@USER So , even the #Holy Water can't cure #CoronaVirus ! ! ! :rolling_on_the_floor_laughing: :face_with_tears_of_joy: :rolling_on_the_floor_laughing:"
130,Holy communion cannot be the cause of the spread of coronavirus,Confession in the time of #COVID19 . HTTPURL
131,Holy communion cannot be the cause of the spread of coronavirus,What if #Coronabeer could kill the #Coronavirus
132,Holy communion cannot be the cause of the spread of coronavirus,Why are the schools still open in Australia #Coronavirus
133,Holy communion cannot be the cause of the spread of coronavirus,The level of cleanliness in the world right now is unprescedented . Thanks to #coronavirus
134,Holy communion cannot be the cause of the spread of coronavirus, Whatever it takes  #coronavirus
135,Holy communion cannot be the cause of the spread of coronavirus,We Will Survive #COVID19 #coronavirus
136,Holy communion cannot be the cause of the spread of coronavirus,We believe this decision is in the best interest of the esteemed members of First Baptist Church and their loved ones and it is a necessary step in curbing the spread of the Coronavirus which has become a global scourge . #COVID19NIGERIA #CoronaVirusUpdate
137,Holy communion cannot be the cause of the spread of coronavirus,This can't be good #Coronavirus
138,Holy communion cannot be the cause of the spread of coronavirus,Nobody cares #Coronavirus
139,Holy communion cannot be the cause of the spread of coronavirus,The Coronavirus is just the flu in black air forces #coronavirus
140,Holy communion cannot be the cause of the spread of coronavirus,Now Is The Time For Everyone To Pray And Cry Out To God For A Cure And An End To The #Coronavirus ! Pray The #Rosary ! HTTPURL
141,Holy communion cannot be the cause of the spread of coronavirus,Stay home #Coronavirus
142,Holy communion cannot be the cause of the spread of coronavirus,HTTPURL The #Australian Government needs to learn from the #Koreans how to stop the spread of #COVID19 #CORONAVIRUS
143,Holy communion cannot be the cause of the spread of coronavirus,"Compare the costs of a global 2 - week shutdown versus the gradual , inexorable spread of the virus . #coronavirus"
144,Holy communion cannot be the cause of the spread of coronavirus,The importance of hygiene in schools and homes can not be overemphasized as a preventative measure against the outbreak of Coronavirus . Coronavirus Prevention Tips #COVID19 #CoronaVirusNigeria #CoronaVirusUpdate HTTPURL
145,Holy communion cannot be the cause of the spread of coronavirus,While there is an increase in number of new cases of #Coronavirus ( COVID - 19 ) Japanese authorities are encouraging people to stay at home to prevent the spread of the Virus HTTPURL
146,Holy communion cannot be the cause of the spread of coronavirus,The reality of the current situation #Covid_19 #coronavirus HTTPURL
147,Holy communion cannot be the cause of the spread of coronavirus,The middle class is going to be in debt now and will be in debt post the #CoronaVirus
148,Holy communion cannot be the cause of the spread of coronavirus,The heat in Nigeria is enough to kill coronavirus #COVID19Nigeria #CoronaOutbreak
149,Holy communion cannot be the cause of the spread of coronavirus,We will beat this #Coronavirus and the #CoronavirusOutbreak
150,Africans are more resistant to coronavirus.,HTTPURL #Africa has been spared so far from #coronavirus . Why ?
151,Africans are more resistant to coronavirus.,Be Safe from #coronavirus infection .
152,Africans are more resistant to coronavirus.,@USER I think the vaccinated people can be more susceptible to #coronavirus .
153,Africans are more resistant to coronavirus.,"This #coronavirus season is an opportunity for Africa to create homegrown solutions , especially in manufacturing ."
154,Africans are more resistant to coronavirus.,What are the symptoms of #CoronaVirus ?
155,Africans are more resistant to coronavirus.,@USER Criminals are immune to #coronavirus outside of jail .
156,Africans are more resistant to coronavirus.,#Coronavirus of course we do .
157,Africans are more resistant to coronavirus.,Could the #coronavirus or #covid19 answer be in #SubSaharanAfrica Plasma ?
158,Africans are more resistant to coronavirus.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?
159,Africans are more resistant to coronavirus.,Some of yall using this #coronavirus for clout .
160,Africans are more resistant to coronavirus.,I am more concerned about the Diabetes epidemic than #coronavirus .
161,Africans are more resistant to coronavirus.,3rd #coronavirus case confirmed in Egypt bringing total in Africa to 23 . @USER
162,Africans are more resistant to coronavirus.,@USER What is it specifically about diabetes that makes diabetics more susceptible to #coronavirus ?
163,Africans are more resistant to coronavirus.,Be Safe from #coronavirus infection 2
164,Africans are more resistant to coronavirus.,First report of #coronavirus in Bhutan .
165,Africans are more resistant to coronavirus.,#Coronavirus The people of the world are being lied to by governments regarding the severity and spread of this virus to save the world economy .
166,Africans are more resistant to coronavirus.,@USER #fakenews poisonous lies are more deadly than #Coronavirus .
167,Africans are more resistant to coronavirus.,"#COVID19 To the best of my knowledge , no single black yet to be reported all over the world ."
168,Africans are more resistant to coronavirus.,#Coronavirus can some one tell me how it spreaded .
169,Africans are more resistant to coronavirus.,"@USER He is wasteful , in Africa we are in dire need funds to fight #coronavirus . After three weeks there will be carnage in Africa ."
170,Africans are more resistant to coronavirus.,"When all of this #coronavirus crisis is over , Health workers might need serious therapy . Sending out prayers to them , they are the real heroes ."
171,Africans are more resistant to coronavirus.,@USER Stupid ... you 're just jealous because the Chinese are the only ones that have effectively tackled #Coronavirus with success .
172,Africans are more resistant to coronavirus.,#Coronavirus is a black swan ...
173,Africans are more resistant to coronavirus.,i strongly believe that Nigeria will come out as a better country after #covid19 .
174,Africans are more resistant to coronavirus.,This crazed reaction to the #coronavirus is categorically moronic .
175,Africans are more resistant to coronavirus.,"If you thought #CoronaVirusUpdate is strange , this might explain it ."
176,Africans are more resistant to coronavirus.,Now #coronavirus is a racial issue . Fuck these ppl .
177,Africans are more resistant to coronavirus.,Can you get the #coronavirus #COVIDー19 again once you recover ?
178,Africans are more resistant to coronavirus.,@USER #coronavirus will change us all .
179,Africans are more resistant to coronavirus.,Why are the states that have the most #coronavirus victims sanctuary states ?
180,Africans are more resistant to coronavirus.,#coronavirus lockdown continues !
181,Africans are more resistant to coronavirus.,The #coronavirus is an act of war !
182,Africans are more resistant to coronavirus.,How many Missionaries have #Coronavirus ?
183,Africans are more resistant to coronavirus.,"If #COVID19 had started in Africa , our leaders should have abandoned us here and traveled abroad ... @USER . Na lie ?"
184,Africans are more resistant to coronavirus.,And now everyone 's in UK take the #coronavirus very seriously .
185,Africans are more resistant to coronavirus.,"@USER No , rather , it appears to be a race-specific bioweapon . Early Chinese propaganda was that #coronavirus kills Asians most and Blacks are probably immune . Now we know that the exact opposite is true ."
186,Africans are more resistant to coronavirus.,It 's been reported that #Covid19 is also very contagious . But it seems like many of us are yet to accept that we 're all susceptible to it .
187,Africans are more resistant to coronavirus.,Y'all wait as soon as #africa and it 's children are hit by this #Covid_19 or #CoronavirusPandemic or #coronavirus it will be framed as an #african problem . Wait and see .
188,Africans are more resistant to coronavirus.,"Out of #G8 countries , Japan is least affected by #CoronaVirus , followed by Canada ."
189,Africans are more resistant to coronavirus.,I dont think we Indians are taking #coronavirus as seriously as we should . Be prepared to face the full force of the deadly COVID 19 in the coming days .
190,Africans are more resistant to coronavirus.,Does #coronavirus respond to tax cuts ?
191,Africans are more resistant to coronavirus.,"December 2019 saw an outbreak of the #Coronavirus hailing from Wuhan , China . It has since spread to other regions of the world ."
192,Africans are more resistant to coronavirus.,"In your opinion , is the potential threat from the #coronavirus being exaggerated ?"
193,Africans are more resistant to coronavirus.,"#coronavirus At last less fuel , less meetings and more benefits for the environment ."
194,Africans are more resistant to coronavirus.,Good morning to everyone except people who are blaming chinese people for the #coronavirus and judging them for their cuisine .
195,Africans are more resistant to coronavirus.,"Good afternoon to everyone except #coronavirus , phuck u coronavirus !"
196,Africans are more resistant to coronavirus.,The #coronavirus was a scam .
197,Africans are more resistant to coronavirus.,I hope the #COVID19 cure from #Madagascar works as they say . And that the African continents can trust in it and leverage it to eradicate the coronavirus . I 'd trust it more than any other from the abroad .
198,Africans are more resistant to coronavirus.,Media surrounding #Corona is doing more harm than the actual virus .
199,Africans are more resistant to coronavirus.,There was no #coronavirus when Obama was president . Just food for thought ...
200,Vitamin C can prevent coronavirus circulation.,Be Safe from #coronavirus infection .
201,Vitamin C can prevent coronavirus circulation.,Be Safe from #coronavirus infection 2
202,Vitamin C can prevent coronavirus circulation.,What are the symptoms of #CoronaVirus ?
203,Vitamin C can prevent coronavirus circulation.,so steam bath 4 times day kills #coronavirus ?
204,Vitamin C can prevent coronavirus circulation.,Kill #coronavirus on surfaces with STEAM . Simple . Alcohol wipes only do so much .
205,Vitamin C can prevent coronavirus circulation.,Expose #CORONAVIRUS do not hide it destroys every one .
206,Vitamin C can prevent coronavirus circulation.,@USER I think the vaccinated people can be more susceptible to #coronavirus .
207,Vitamin C can prevent coronavirus circulation.,#Coronavirus possible treatment using Vitamin C #Qanon HTTPURL
208,Vitamin C can prevent coronavirus circulation.,#Coronavirus can some one tell me how it spreaded .
209,Vitamin C can prevent coronavirus circulation.,#Coronavirus @USER Thank you for informing us promptly .
210,Vitamin C can prevent coronavirus circulation.,@USER Can it kill #fluvirus such as #coronavirus #H1N1 etc ?
211,Vitamin C can prevent coronavirus circulation.,@USER But will it stop #Coronavirus ?
212,Vitamin C can prevent coronavirus circulation.,Dr . Saul REAL News how vitamin C fights coronavirus SARS HTTPURL #covid-19 #health #Andrew #Canada
213,Vitamin C can prevent coronavirus circulation.,Can you get the #coronavirus #COVIDー19 again once you recover ?
214,Vitamin C can prevent coronavirus circulation.,@USER Is this exclusively to prevent #COVID19 or for treatment ?
215,Vitamin C can prevent coronavirus circulation.,@USER #coronavirus will change us all .
216,Vitamin C can prevent coronavirus circulation.,"This article highlights the important role played by Vitamin D in fighting some viral infections . Also , it shows how to compensate for poor Vitamin D receptor . COVID - 19 #coronavirus can most likely be fought by Vitamin D #vitaminD HTTPURL HTTPURL"
217,Vitamin C can prevent coronavirus circulation.,@USER Thank you for you article that let people know what happen about #coronavirus .
218,Vitamin C can prevent coronavirus circulation.,I am more concerned about the Diabetes epidemic than #coronavirus .
219,Vitamin C can prevent coronavirus circulation.,"#Coronavirus It 's an infection , it needs a prescription !"
220,Vitamin C can prevent coronavirus circulation.,First report of #coronavirus in Bhutan .
221,Vitamin C can prevent coronavirus circulation.,How many Missionaries have #Coronavirus ?
222,Vitamin C can prevent coronavirus circulation.,@USER Can you have mild #coronavirus ?
223,Vitamin C can prevent coronavirus circulation.,@USER Can you wipe #coronavirus away with disinfectant wipes ?
224,Vitamin C can prevent coronavirus circulation.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?
225,Vitamin C can prevent coronavirus circulation.,@USER Instead learn from #China how to stop the spread of #coronavirus .
226,Vitamin C can prevent coronavirus circulation.,"@USER Train the dogs to detect the #coronavirus , as well ."
227,Vitamin C can prevent coronavirus circulation.,#Coronavirus of course we do .
228,Vitamin C can prevent coronavirus circulation.,#coronavirus or shopping ?
229,Vitamin C can prevent coronavirus circulation.,@USER #Coronavirus comes from #GlobalWarming ?
230,Vitamin C can prevent coronavirus circulation.,Does G-d have the #coronavirus antibody ?
231,Vitamin C can prevent coronavirus circulation.,"#coronavirus makes information important . European Center for Disease Prevention and Control directions , a must read for all ."
232,Vitamin C can prevent coronavirus circulation.,@USER #Coronavirus is now at a point where many people do not fear it anymore .
233,Vitamin C can prevent coronavirus circulation.,And now everyone 's in UK take the #coronavirus very seriously .
234,Vitamin C can prevent coronavirus circulation.,@USER ... about #coronavirus ? ?
235,Vitamin C can prevent coronavirus circulation.,@USER Probably more important than not spreading #CoronaVirus .
236,Vitamin C can prevent coronavirus circulation.,"@USER They say ,  viruses which can kill bacteria  , but #coronavirus is a virus . So HOW THE HELL the water can help end Corona VIRUS . does that make no sense or I 'm missing something there ?"
237,Vitamin C can prevent coronavirus circulation.,@USER Criminals are immune to #coronavirus outside of jail .
238,Vitamin C can prevent coronavirus circulation.,@USER Can you kill #coronavirus ? ?
239,Vitamin C can prevent coronavirus circulation.,@USER #coronavirus might just solve the problem .
240,Vitamin C can prevent coronavirus circulation.,"If mega doses of vitamin c might save you from #coronavirus , as some report , would you buy some as insurance and learn more about it ? #covid #covid19"
241,Vitamin C can prevent coronavirus circulation.,#coronavirus lockdown continues !
242,Vitamin C can prevent coronavirus circulation.,@USER #coronavirus definitely looks like this .
243,Vitamin C can prevent coronavirus circulation.,Does #coronavirus respond to tax cuts ?
244,Vitamin C can prevent coronavirus circulation.,Self-promotion in the age of #coronavirus . Discuss .
245,Vitamin C can prevent coronavirus circulation.,The #coronavirus is an act of war !
246,Vitamin C can prevent coronavirus circulation.,Taxis drivers can not work now due to #coronavirus . But autonomous car will get this out someday .
247,Vitamin C can prevent coronavirus circulation.,"mortality rate = worse case global deaths from #coronavirus is 3,276,000 ."
248,Vitamin C can prevent coronavirus circulation.,"How long can #Coronavirus live in water ? If you @USER do n't have the answer right now , die of shame ."
249,Vitamin C can prevent coronavirus circulation.,@USER Summer will still have #coronavirus . Is there a way to work from home ?
250,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",Funeral parlour report fans fears over #Wuhan #coronavirus death toll . Wanting to know how many cremations were carried out in Wuhan ? Wait till at least June . #Covid19 HTTPURL via @USER
251,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER CCP stoped travels from #wuhan to Peking and Shanghai but allowed them to continue overseas . Why ?
252,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","In Wuhan , a city of 11 million humans , in the cycle of life ... children are born , and people die . It is a sure thing that Wuhan residents died from causes other than Covid - 19 , including old age . How many ? . #COVIDー19 #Wuhan HTTPURL"
253,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",It 's being reported that China claimed political dissidents had #coronavirus WuhanFlu and burned them up in incinerators . I believe that after the #TiananmenSquare massacre .
254,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",7500 human beings died from #coronavirus in the United States last week . Find a daily death graph for the United States using your favorite internet search and find out .
255,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER Maybe their Level 4 biolab in #Wuhan needs to go .
256,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER The deaths in March for #Covid19 are less than Deaths from B strain flu in December 2019 .
257,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER Agree . Unfortunately #Wuhan , #China is getting worse . #HongKong is getting more like China . Thanks to the #CCP , one is safe . No one can have a peaceful life . We must end the #CCP ."
258,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER #Wuhan with a population of 12 Million had 4,000 #ventilators in January 2020 . Number increased to over 10,000 by end of February . #UK with population of 65 Million had 5,000 #ventilators in January 2020 . This number has barely increased by mid-March ."
259,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","As on 2019 , there were 2,700,000 TB patients in India . That is still nearly 26 times the #coronavirus cases in the country ."
260,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","#Trump administration should have firmly rejected China #XiJinping lockdown , isolation #Wuhan policy from day one ."
261,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","December 2019 saw an outbreak of the #Coronavirus hailing from Wuhan , China . It has since spread to other regions of the world ."
262,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER #WuhanCoronaVirus is your downfall and you will be held to account for your lies and malicious actions .
263,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",#Covid-19 is actually #Wuhan-400 China must be punished .
264,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER #WuhanCoronavirus is the most accurate name for this ! #COVID19 = CCP Output Virus In Dec 19 Thank you , @USER !"
265,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",This was in #wuhan by the way . This is an incredible story and it can help save lives right now . Literally today .
266,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER my gut feeling is it 's too much of a coincidence that it originated in #Wuhan where the #wuhanlab exists .
267,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","100,047 American citizens have died from #coronavirus in less than 3 months ."
268,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Breaking News For first time since coronavirus outbreak , Wuhan province in China reports ZERO new cases of #coronavirus ."
269,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","The US has hit the tragic milestone of 50,000 #COVID19 deaths . Given that there have been less that 200,000 deaths worldwide . We own more than one-fourth of all those deaths . ! ! So this is America first ?"
270,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER too many bodies they will have to do what they did in #Wuhan and burn them .. sadly
271,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","It 's easy to lose track , because the numbers are all headed in the right direction , but this is still shocking to me : There are still more than 7,700 people currently hospitalized with #COVID19 in NY . And more than 2600 in ICU ."
272,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","#EverydayHero People wait in line to donate their blood to support resumption of work in #Wuhan , Central China 's Hubei province , on July 4 , 2020 . More than 500 people recorded their information at a blood donation point . HTTPURL"
