,Unnamed: 0.1,Unnamed: 0,premise,text,stance
369,369,369,Avocado and mint tea cures coronavirus.,"I consume, in order of importance: Abraham Hicks tenets, Organika bone broth powder, UVB light on legs not soap-washed for 48 hours to extract D3, B12, + food mentioned in a 600-year old Chinese med book, ""Worth 1,000 Times More Than Gold"", alkaline/organic food/water +a few more https://t.co/JxhyLkZWDD",0
192,192,192,Holy communion cannot be the cause of the spread of coronavirus,@USERNAME @USERNAME @USERNAME @USERNAME @USERNAME @USERNAME Why are the doctors not able to save people from the corona virus today. The doctor also takes the name of God when he does some treatment and  Trusts him only because he also knows that only God can save a patient.,0
1114,1114,1114,Vitamin C cures coronavirus.,"Anti-vaxers: 
Guys we‘ve had this whole thing under control all along. All we need to do is ramp up some essential oils, take herbs, and hot baths in the evening. Light some incense and sing kumbaya and you’ll be good as new in the morning. #coronavirus #covid19 #antivaxers",0
90,90,90,We're very close to a vaccine.,@USERNAME I understand Israel will have a vaccine for coronavirus in a few weeks.,1
82,82,82,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME The virus can survive on surfaces for a long time. It’s a genuine concern. Doctors in our country are worried about packages coming from China as well. It spreads like wildfire. It’s not racist, it’s a concern for health at this point. People should halt ordering from China.",1
997,997,997,Africans are more resistant to coronavirus.,People infected with coronavirus may have no symptoms at all. That's why the virus is so hard to stop. https://t.co/G8K8Mhe7bV,0
1280,1280,1280,Coronavirus is caused by 5G.,Iran has 43 deaths out of 593 cases from coronavirus. Either it's massively underreported (likely) or we're dealing with a mutated strain. Iran's mortality rate is 7% which is 3.5x higher than the global average.,0
2012,2012,2012,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","LIVE FROM HONG KONG: To Date in 2020, Influenza (the Flu) Accounts for More Than 50 Times the Number of Deaths as the Coronavirus in Hong Kong https://t.co/3aPNPhXc85 via @USERNAME",0
1406,1406,1406,We're very close to a vaccine.,"I don’t understand why Dems say President Trump cannot handle the Coronavirus.He closed our airports to China early, and he consults experts every day to determine correct policies. Our companies are looking for a cure.  There is nothing for the Dems to politicize in his actions.",0
1810,1810,1810,Coronavirus is genetically engineered.,Lol. There is a COVID-19 MLS task force. 2020 is wild. https://t.co/lccMDhiNlK https://t.co/ioVbBSa6Q4,0
979,979,979,Coronavirus can only survive in cold temperatures.,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines https://t.co/nlQ800DNUZ https://t.co/N4Eybf0nvU",0
1563,1563,1563,Coronavirus is caused by 5G.,"Coronavirus - Joe Imbriano, 5G is a kill grid that will lead to forced v... https://t.co/R5R01IIo5U via @USERNAME",1
1715,1715,1715,Coronavirus is genetically engineered.,"@USERNAME You are very wrong. 

This was a human-created virus for the purpose of bioterrorism, in Wuhan. 

I had a long discussion with a well-known ID doc on Friday. This is legitimately frightening.",1
1828,1828,1828,Holy communion cannot be the cause of the spread of coronavirus,@USERNAME We wish we could stand with you in this ordeal of China. We stood with us in our war against takfiri terrorism. We in Syria pray to God to remove this epidemic from you and help you to America if it is the cause of the epidemic. All love and appreciation of the Chinese people.,0
316,316,316,Fennel tea cures coronavirus.,"How to prevent corona virus??? Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc ?? #AdoptVedicHoliPreventCorona https://t.co/wrK0ZLJX2T",0
310,310,310,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"In the year 1981 Dean Koonts wrote a suspense nobel called ""The Eyes of Darkness"". In it, he describes how in the year 2020 in the city of Wuhan, a new virus that would affect the entire planet will be discovered. 
https://t.co/jNfu36mUWn",1
2084,2084,2084,A person can tell if they have coronavirus or not simply by holding their breath.,"If phones track locations and anyone who tested positive for covid-19 could mark themselves that way, it may be possible to give people a probability that they have the virus based on location history.

#2019nCoV #COVID2019 #coronavirus #CommunitySpread",0
491,491,491,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME If these numbers are right, this season's flu has a fatality rate of only 0.00055%
Comparing it to COVID-19's rate of 2% means that the Corona virus is ~2,000 times more deadly than the regular flu!!! 😱💀☠️

If it keeps spreading it'll be time to freak!!!",2
725,725,725,Vitamin C can prevent coronavirus circulation.,"Imagine thinking that a drink that's meant to keep you hydrated when exercising, can help treat the Coronavirus. A couple did that, and they their own story on The Washington Post.

Why am I not surprised? No really, someone tell why am I not surprised.",0
535,535,535,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","GLast month, in #Wuhan, where millions of people were in quarantine due to #coronavirus, people shouting at night were singing, reading national anthems, we were going to beat the #virus, and we were strong! https://t.co/cpnJ5dxrAT",0
532,532,532,Coronavirus is genetically engineered.,"@USERNAME @USERNAME Look at China. The original tweet. It won't take much to bring the global economy to a screeching halt. COVID-19 could be the thing, or not, but something will. It's all too top-heavy and fragile to stay standing for that much longer.",0
1319,1319,1319,A person can tell if they have coronavirus or not simply by holding their breath.,"@USERNAME @USERNAME Masks only help those who are infected prevent infection to those who are not infected.

The use of masks in people who are not infected with coronavirus does NOT prevent the transmission of the coronavirus to them.

The mucus membranes of the eyes allow transmission to occur.",0
1321,1321,1321,Fennel tea cures coronavirus.,"Thanks to the media-sparked corona virus hysteria some people here in Germany have started panic buying goods like noodles, canned bread and water. Amazing.",0
1145,1145,1145,A person can tell if they have coronavirus or not simply by holding their breath.,I have no idea how the Coronavirus spreads but I feel like it has something to do with people not washing their hands and covering their mouth when they cough 😷,0
1087,1087,1087,SARS-CoV-2 can survive for weeks on surfaces.,"Coronavirus could survive up to 9 days outside the body, study says https://t.co/LpiHqZTohS",1
968,968,968,SARS-CoV-2 can survive for weeks on surfaces.,Coronavirus can live on common surfaces for nine days https://t.co/AeuZmNpKU2,1
736,736,736,Coronavirus is genetically engineered.,"People are deemed ""conspiracy theorists"" for not having evidence that it's a bioweapon, but they don't need evidence to make this claim. 👇 #coronavirus https://t.co/A3Uaoacz8s",0
810,810,810,Coronavirus is genetically engineered.,Coronavirus and influenza comparison is really invalid. Influenza spread is minimized because many of us including me are vaccinated. No protection against spread of highly contagious corona virus.,0
1891,1891,1891,Fennel tea cures coronavirus.,"@USERNAME WHAT ABOUT THE ILLEGALS ENTERING W/ NO MEDICAL EXAM!THEY SLREADY BROUGH SICKNESS LIKE VENEREAS TUBERCULOSIS., CHICKEN pox Rubeola, mumps,POLIO and more! S@D DE@OCRATS ARE OK W/THAT! ILLEGALS R MORE DANGEROUS THAN THE CORONA VIRUS! WAKE UP AMERICA / ANOTHER DEMOCRAT DISTRACTION",0
415,415,415,Coronavirus is genetically engineered.,"Conspiracy Theory of the Day!
The Corona virus is a plot by the United Nations to kill off the baby boomers who are creating unfunded financial liability for the global economy.
Please no f;lowers, a donation to yr fav charity instead.",0
769,769,769,Coronavirus is genetically engineered.,Coronavirus is from 1981. Lysol kills it dead. https://t.co/gdEt1oZKDD,0
2099,2099,2099,Hand sanitiser sold commercially does not destroy the coronavirus.,Self-quarantine may provide option to slow spread of #coronavirus https://t.co/ZGyp1xsWAf,0
447,447,447,Fennel tea cures coronavirus.,"@USERNAME @USERNAME The only prevention from any virus is to not come in contact with it. Airborne, zinc, elderberry, echinacea, none of it will prevent covid. It's extremely contagious and has a lifespan of up to 9 days on hard surfaces. Buy n95 masks and sterile gloves now while you still can.",0
1935,1935,1935,Avocado and mint tea cures coronavirus.,"Anti-vaxers: 
Guys we‘ve had this whole thing under control all along. All we need to do is ramp up some essential oils, take herbs, and hot baths in the evening. Light some incense and sing kumbaya and you’ll be good as new in the morning. #coronavirus #covid19 #antivaxers",0
266,266,266,Avocado and mint tea cures coronavirus.,"I suggest y'all detox with vinegar/ lemon water daily, and assume that everything you touch has germs. Boost your immune systems and avoid excessive sugar and processed foods. That's my coronavirus advice.",0
956,956,956,Vitamin C cures coronavirus.,"How to prevent corona virus??? Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc ?? #AdoptVedicHoliPreventCorona https://t.co/wrK0ZLJX2T",0
1547,1547,1547,Vitamin C cures coronavirus.,"@USERNAME Respectfully 1918 is quite different than 2020. I’m surprised you aren’t discussing more natural preventives to the coronavirus. There are many ways to avoid getting sick like taking megadoses of Vitamin C,A and liver. You know this Dr Savage. Why aren’t you talking about it?",0
466,466,466,Fennel tea cures coronavirus.,"It's probable @USERNAME caught Rhinovirus not Coronavirus. Get many doses of good chicken soup, run humidifier and bundle up for a few days. In future use zinc lozenges at the very first twinge of cold symptoms.  It works astoundingly well in reducing severity of colds. https://t.co/NJvqjSONe7",0
1416,1416,1416,Hand sanitiser sold commercially does not destroy the coronavirus.,Looking for hand sanitizer? You might be out of luck as stores experience a surge in demand for that and other supplies amid worries about coronavirus in the U.S. https://t.co/neY5h1NN0C via @USERNAME,0
1541,1541,1541,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","****Important****

Chinese propaganda is blaming American Soldiers for infecting Wuhan during the Military Games in 2019.

#coronavirus #NCP #nCoV2019 #COVID19 #SARSCoV2 https://t.co/0JReYVtVJd",0
951,951,951,Coronavirus is caused by 5G.,Coronavirus: First case confirmed in Republic of Ireland https://t.co/8YArA1ifQU https://t.co/mNg2pG6HjK,0
295,295,295,Hand sanitiser sold commercially does not destroy the coronavirus.,@USERNAME There's evidence that exclusive breastfeeding will help to protect babies from coronavirus. It's less clear if the mother is infected. It appears that the main concern is the risk of proximity to an infected person. Milk that has been tested has not been found to have the virus.,0
843,843,843,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,I own the Dean Koontz book that everybody says predicted the #CoronaVirus #Coronavid19 back in 1981. I haven’t read it; I found it in a box of novels my mom gave me years ago https://t.co/gs8K7CKUlM,1
446,446,446,Holy communion cannot be the cause of the spread of coronavirus,"Do you understand/believe? Do you want Christ to save you from Hell+your own sin-nature forever?? Simply ""believe on the Lord Jesus Christ, and thou shalt be saved"" (Acts 16:31) for eternity, sealed by the Holy Spirit (see Eph.4:30).
#fear #body #flu #virus #corona #coronavirus",0
1233,1233,1233,SARS-CoV-2 can survive for weeks on surfaces.,"Trump is too ignorant to consider how many people may have touched that flag before he did.  ""early evidence suspects the virus can survive up to nine days at a comfy room temperature.""   https://t.co/3JtK7ymSbU https://t.co/xd0U3jCCxA",1
159,159,159,Coronavirus is caused by 5G.,"We must have a conversation about mental health supports considerations in relation to the #coronavirus (COVID-19) outbreak.
#Mentalhealth impacts of the outbreak are far reaching it is critical as part of the messaging to include  where people can recieve mental health support.",0
484,484,484,A person can tell if they have coronavirus or not simply by holding their breath.,Uber drivers out here still giving strangers rides not knowing if the person they’re picking up had the coronavirus or not..:good luck out there drivers..,0
2100,2100,2100,SARS-CoV-2 can survive for weeks on surfaces.,How long can coronavirus live on surfaces? https://t.co/ETJXmlHMwH,1
1674,1674,1674,Coronavirus is caused by 5G.,“CoronaVirus is a community spread infection” https://t.co/ZNd88G7KdJ,0
2052,2052,2052,We're very close to a vaccine.,@USERNAME Not old enough yet to be worried about the corona virus. We're still relatively safe under 60 yrs.,0
444,444,444,We're very close to a vaccine.,"@USERNAME Trump was borrowing the playbook from China by suppressing all the bad news related to COVID-19. The coronavirus has proven it's much smarter than us, and it is now spreading like hot cakes.

China is able to censor all the bad news, but US can't.  

Trump needs a new strategy.",0
1448,1448,1448,Coronavirus is caused by 5G.,"The Coronavirus Disease 2019 (COVID-19) Outbreak in China—Summary of a China CDC Report https://t.co/JxGYceGST2 
== 87% age 30 to 79; severe 14%, Critical 5% (of Critical 49% died)
==Case Fatality 2.3% overall, 14.8% over 80, 8%  age 79-79",0
17,17,17,A person can tell if they have coronavirus or not simply by holding their breath.,Assume everyone you encounter has coronavirus even if they have no symptoms. Take no chances.,0
580,580,580,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Coronavirus is Scary. 
But The World's First Pandemic
Might Have Killed 50 Million People.
https://t.co/QJ43F81cuw https://t.co/9pC0C3jBsU",0
947,947,947,We're very close to a vaccine.,"@USERNAME True, we've been going through that for the last three years. However, this is a whole new scenario, where they're struggling to contain the coronavirus and the blame falls on Trump's shoulders.",0
867,867,867,Coronavirus is genetically engineered.,+ idc. this coronavirus is fake.,0
583,583,583,Coronavirus is caused by 5G.,The coronavirus outbreak is the biggest shock to demand for oil since the 2008 financial crisis. Economists are warning that the outbreak could spark a severe economic slowdown or even recession in the United States and elsewhere. https://t.co/QhVFXuBzW7,0
1943,1943,1943,Coronavirus is caused by 5G.,"Coronavirus did not originate in Wuhan seafood market, scientists say it was in the  Dutch Hospital 2002 #coronavirus #COVID2019",0
1659,1659,1659,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USERNAME CCP is problematic on 1 rejecting US CDC team’s assistantance, 2 making up fake infection and death data 3 started propaganda to blame US as origin of coronavirus 4 conducting tons of bio-military exercises in 2019 at various of locations in China, including Wuhan. https://t.co/Ui75FSCEXz",0
732,732,732,SARS-CoV-2 can survive for weeks on surfaces.,Study finds that Coronavirus could survive up to NINE DAYS outside the body - Daily Mail https://t.co/61Mk9YQvsh via @USERNAME,1
71,71,71,Coronavirus is genetically engineered.,"Prediction: COVID-19 is a nothing-burger.

The mortality rate is 2%, but that counts ALL deaths against only SOME of the infected. Most infected are asymptomatic and won't have reason to be tested, so the real mortality rate may be around the same as the common flu (0.1%).",0
959,959,959,Avocado and mint tea cures coronavirus.,"I start to freak out about the #coronavirus and my anxiety goes up the roof!! I been reading about it since Jan when it was only in China. Don’t know what to believe anymore. Just like the flu? Worse? Been buying medicine, waters and canned foods. I’m freaking out.",0
1790,1790,1790,Vitamin C can prevent coronavirus circulation.,The virus of coronavirus can be defeated by alcohol. I promise y’all. Smoking weed and drinking alcohol. Thank me later.,0
256,256,256,Coronavirus is genetically engineered.,Rainbow Six Quarantine predicted the Coronavirus.,0
533,533,533,Coronavirus is genetically engineered.,@USERNAME @USERNAME should go to China or to visit the Americans who are kept in quarantine. The COVID-19 is a hoax! He has everything under control - nothings to worry about it.,0
1083,1083,1083,Vitamin C can prevent coronavirus circulation.,@USERNAME Discovered a cure for coronavirus apparently,0
708,708,708,Coronavirus can only survive in cold temperatures.,Study finds that Coronavirus could survive up to NINE DAYS outside the body | Daily Mail Online https://t.co/cOpLpNRiq9 via @USERNAME,0
1157,1157,1157,Holy communion cannot be the cause of the spread of coronavirus,Corona virus outbreak teaches us that the measure of health of a whole country is only as good as the health of the remotest and weakest citizen in the country. So public health care policy should aim at increase the height floor height rather than ceiling height.,0
747,747,747,Fennel tea cures coronavirus.,"I’m not sure about this whole “coronavirus” thing going around, but here are some good ways to help prevent getting sick: 

take lots of Vitamin C(min. 1000mg an hour), wash your hands regularly, physical activity, reduce unnatural sugar intake, and good sleep.",0
1398,1398,1398,Coronavirus is genetically engineered.,Coronavirus was invented by Big Soap to make people wash their hands.,0
99,99,99,Avocado and mint tea cures coronavirus.,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/8kHgFmbzie",0
1400,1400,1400,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME @USERNAME @USERNAME @USERNAME FYI, stumbled on this: ""overall clinical consequences of Covid-19 may ultimately be more akin to those of a severe seasonal influenza (which has a case fatality rate of approximately 0.1%)"" 🤷‍♂️
from: https://t.co/gxztGmpAjl",1
696,696,696,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME Please get the FDA to approve ambroxol and make it available immediately. The German makers donated it to China because it can lessen the effect of coronavirus.

https://t.co/vq9KswkVng",0
2035,2035,2035,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"research will prove that the Coronavirus has been epdemic as far back as 1960, upper respitory in nature, but the sinful nature of this World has increased the possibilities of a stronger strain and hysteria over the pandemic is not helpful",0
1039,1039,1039,Coronavirus is caused by 5G.,"coronavirus is just Acute Respiratory Disease , affecting how the hemoglobin in yo lungs absorb the oxygen affected by 5G airwaves , radio , micro n other electromagnetic waves approved by the govt to be in our air",1
896,896,896,Coronavirus can only survive in cold temperatures.,Coronavirus can't survive in https://t.co/NAoWM134Er as d temp.rises during summer it also dies.Hoping,1
1472,1472,1472,Coronavirus is genetically engineered.,"""Looking at the data alone, we could observe this complex pattern and not know whether a deadly epidemic was being reinforced by a virus, or by a social phenomenon, or some combination.""
https://t.co/dChBOcDAWs",0
1105,1105,1105,Coronavirus is genetically engineered.,"protect us all from a deployment designed to destroy life in the form of the Corona Virus, A.K.A. COVID-19! I'm not signing up for any VACCINES! 5G is COVID-19!c There is no CORONAS VIRUS! Just a signal that comes through our WIFI or cable signal  to implement fear upon all-",0
1801,1801,1801,SARS-CoV-2 can survive for weeks on surfaces.,"The Problem With Telling Sick Workers to Stay Home https://t.co/pGdPFdww4F “No one knows how long COVID-19 can live on a dry surface, but in the case of SARS, another novel coronavirus, Gershon said it was found to survive for up to a week on inanimate objects.”",1
972,972,972,A person can tell if they have coronavirus or not simply by holding their breath.,"Masks are meaningless for prevention virus.
One way masks could stop you getting the virus is by protecting your hand, mouth or nose touching. 
A study from N.S Wales found that people touch their faces about 23times an hour.
#過度の使用 #coronavirus 
https://t.co/2GyCaY0hFE",0
1729,1729,1729,Vitamin C can prevent coronavirus circulation.,"Vitamin C, Zinc , Echinacea.  Prepare to make tea constantly throughout duration of coronavirus self quarantine.  I'm just taking educated guesses here.  We may all die from this, say ""la ilaha illallah"" a lot.  And take shahada on video chat even and start learning salat.",1
230,230,230,A person can tell if they have coronavirus or not simply by holding their breath.,What are the symptoms of coronavirus? How to know if you're at risk  https://t.co/UDPJcVh1CX,0
1784,1784,1784,Vitamin C can prevent coronavirus circulation.,Alcohol fights against the coronavirus.,0
1173,1173,1173,Coronavirus is caused by 5G.,"42 GHz frequencies, close to the middle of the 5G spectrum, cause mice to suffer from immune system problems - and presumably humans too.

As the world's premier adopter of 5G
China compromised the immunity of its population
resulting in a COVID=19 epidemic

#coronavirusus",1
1433,1433,1433,Africans are more resistant to coronavirus.,"Several young doctors in China have died of the coronavirus. Medical workers are far more vulnerable to infection than the general population.
https://t.co/KKP8IqPsSI",0
393,393,393,Coronavirus can only survive in cold temperatures.,"The COVID-19 coronavirus is a respiratory virus with cold or flu symptoms like runny nose, cough, sore throat, fever, and 80% of cases are mild. But, serious cases can lead to pneumonia, which can lead to organ failure. https://t.co/mx2EsStX9K",0
1386,1386,1386,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","LIVE FROM HONG KONG: To Date in 2020, Influenza (the Flu) Accounts for More Than 50 Times the Number of Deaths as the Coronavirus in Hong Kong https://t.co/hDZ5JtMWan via @USERNAME",0
131,131,131,Coronavirus is caused by 5G.,"The first fatality from the novel coronavirus has been confirmed on US soil, as Trump urged Americans not to panic. https://t.co/eHXcgAfr2f",0
1911,1911,1911,Coronavirus can only survive in cold temperatures.,Interesting. The last report I heard was that the virus couldn't survive on surfaces for more than minutes 😕 Who to believe? Also remember that advert about colds and flu that said a sneeze can travel up to 8 miles? 😷😰 https://t.co/yh6FRZoRpT,0
349,349,349,Coronavirus is genetically engineered.,"@USERNAME True that. It is a bio weapon developed in the US. Sold to China during the Obama administration. The Chinese have modified it to give it race specific characteristics where the Asian population are more susceptible to infection. The CDC test kits were withdrawn, no testing now",1
1341,1341,1341,Coronavirus is genetically engineered.,Coronavirus = Natural Selection. Godspeed. #thanoswasright,0
1571,1571,1571,Hand sanitiser sold commercially does not destroy the coronavirus.,"No. 1 way to prevent #coronavirus isn't wearing a face #mask 200227 https://t.co/lrzveU9rBt #news #health (…#wash your #hands frequently and thoroughly… 

make sure that you scrub the #soap into your #fingertips… 

Soap and water is far more effective than hand sanitizer…)",0
1745,1745,1745,The lifetime of SARS-CoV-2 is only 12 hours.,It appears more likely SARS-CoV-2 can be borne by carriers without any symptoms.  Hopefully airlines should strengthen their disinfectant routines. https://t.co/Y0Jz2Ttk2c,0
16,16,16,Holy communion cannot be the cause of the spread of coronavirus,"In response to concerns expressed by the faithful regarding the potential spread of the #coronavirus, the Archdiocese of Galveston-Houston is suspending the distribution of Holy Communion. https://t.co/aDQGtpZ1qq",0
1884,1884,1884,Fennel tea cures coronavirus.,"Visitors, staff w/o sick days, elderly resident &amp; patients with chronic health diseases make long term care facilities-chronic hospitals, nursing homes, memory care , long term acute care facilities- vulnerable to large outbreaks of resp infections like the flu and coronavirus. https://t.co/KnlhoyzIXq",0
1656,1656,1656,Coronavirus is genetically engineered.,"The coronavirus was found to be man made. It didnt perform as expected, killing millions. If you have a good immune system, you beat it easily. It's a hoax. https://t.co/yQH1e8pQph",1
917,917,917,The lifetime of SARS-CoV-2 is only 12 hours.,"@USERNAME @USERNAME The problem here is not the death rate of 2%, SARS was higher. 

The up to 14 days incubation time causes severe problems and explains why so much countries have Covid-19 cases. If it will come to a real pandemic the economy will crash and a vaccine is a year away.",0
1407,1407,1407,Avocado and mint tea cures coronavirus.,"@USERNAME @USERNAME Bioterror? Today, an old man, behind me, over breakfast, said that he didn't believe in any of that coronavirus, which was another ""thing"" that pharmaceutical companies did every 4 years to increase business. Recommended, vitamin C and echinacea tea. There is no flu to resist.",0
949,949,949,Coronavirus is genetically engineered.,"Corona virus vaccine is the only one that gives you autism. 

So I'll be fine.",0
398,398,398,Holy communion cannot be the cause of the spread of coronavirus,Coronavirus: Misinformation and false medical advice spreads in Iran https://t.co/7hhddAIPSe,0
2079,2079,2079,The lifetime of SARS-CoV-2 is only 12 hours.,Chloroquine for the 2019 Novel Coronavirus SARS-CoV-2 : Would we use it?  Why not in ICU patient https://t.co/2j6KV1GnSr,0
187,187,187,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,@USERNAME Just read a book by Dean Koontz The Eyes of Darkness in 1981. https://t.co/1TLk7SSpj6,0
1734,1734,1734,Avocado and mint tea cures coronavirus.,"@USERNAME @USERNAME How to prevent corona virus? Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc. #AdoptVedicHoliPreventCorona https://t.co/2SvWjr1meW",0
726,726,726,Coronavirus is genetically engineered.,"Scottish surveillance testing system for Covid-19 begins
This article https://t.co/rmLR9jKSv5 appeared first on https://t.co/w7I6FZp8Tr",0
1106,1106,1106,We're very close to a vaccine.,"Coronavirus isn’t that big of a deal, you’re all being dramatic. If there was a vaccine to prevent it, most of you wouldn’t even get it so be quiet and wash your hands. 

Someone had to say it",0
424,424,424,Hand sanitiser sold commercially does not destroy the coronavirus.,People infected with coronavirus may have no symptoms at all. That's why the virus is so hard to stop. https://t.co/55VdAHpvbH,0
1363,1363,1363,Coronavirus is genetically engineered.,"@USERNAME You say ""Pandemic if this happens with CV"". 
No that wouldn't make a pandemic. 
""A pandemic is an epidemic of disease that has spread across a large region; for instance multiple continents, or worldwide.""",0
1989,1989,1989,Coronavirus is genetically engineered.,Pope has Coronavirus pass it on.,0
228,228,228,Fennel tea cures coronavirus.,"To personally prepare for coronavirus,  I'm looking to stock up on coffee, peanut butter, chocolate and toilet paper... the only true necessities in life.",0
1310,1310,1310,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Billionaire Whistleblower: Wuhan Coronavirus Death Toll Is Over 50,000 https://t.co/tuKjNSyrfr",1
1353,1353,1353,Africans are more resistant to coronavirus.,"Social media folks: Africans are immune to Corona virus

Corona Virus: https://t.co/AFkDYSpTUf",1
1035,1035,1035,Coronavirus is caused by 5G.,@USERNAME says that the #coronavirus is caused by eating red meat,0
468,468,468,Coronavirus is genetically engineered.,Just so you will know ! And be careful but most of the COVID-19 is scare tactics for now ! Not that in the future it couldn't get worse but with current preventive measures @USERNAME has put in place the risk should stay minor https://t.co/z9Nvo7RTn5,0
1670,1670,1670,Coronavirus can only survive in cold temperatures.,How long can coronavirus survive on surfaces? | The Japan Times https://t.co/GTNn8jeyaO,0
304,304,304,Coronavirus is genetically engineered.,@USERNAME He’s saying the Democrats using Coronavirus as a weapon is a hoax. Not the disease but the Dems using it as a weapon.,0
251,251,251,Vitamin C cures coronavirus.,"It hasn't been proven but stock up on these items anyway, wash ur damn hands and cover ur cough!

Can Lysol and Clorox products kill the novel coronavirus? The answer is ... complicated

https://t.co/iFpHv4KAh2",0
1,1,1,Holy communion cannot be the cause of the spread of coronavirus,@USERNAME @USERNAME coronavirus and illegals ; the Democratic Party should be responsible for the spread of a Community disease because of the illegals not being vetted and having a proper process. I’am sure they will take full responsibility of any deaths caused to them or us;RIGHT?,0
1124,1124,1124,Coronavirus is caused by 5G.,"In Daegu, a 45-day-old newborn baby has 
a new coronavirus infection (Corona 19).
https://t.co/HdRt4OS19t South Korea",0
1781,1781,1781,Holy communion cannot be the cause of the spread of coronavirus,#coronavirus we were born with those Spirits that's why we live but death is now to those who deny. Our herbs and scents will not protect you you must confess Then if the Spirits believe you you shall be saved Jesus is the done ofGid and the Messiah confess your sins world,0
1561,1561,1561,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"@USERNAME You are quite entitled to your beliefs, as am I. I cannot stand the gross misrepresentation of facts and the growing partisan divide. Today a person died of Covid 19. Yesterday our President called the potential pandemic a hoax perpetrated by Democrats.",0
