,Unnamed: 0.1,Unnamed: 0,premise,text,stance
1072,1072,1072,SARS-CoV-2 can survive for weeks on surfaces.,@USERNAME I wonder if corona virus can be spread through package delivery. Doesn’t it stay on surfaces for a week?,1
118,118,118,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME @USERNAME
@USERNAME @USERNAME @USERNAME
From GP friend, #COVID2019 may survive &lt;= 7 days on a hard surface.

Coincidentally, tells me wart virus can withstand cold from liquid nitrogen... 

Hypothetically, seems that COVID-19 may be able to travel by air mail https://t.co/h349h3Uvnl",1
1385,1385,1385,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME @USERNAME That's surprising. Different studies I read from China when they first started investigating said that COVID-19 could remain viable once it left the body, in some cases, up to 5 days. Was pretty sure they were finding longevity on fomites as well.",1
51,51,51,SARS-CoV-2 can survive for weeks on surfaces.,The Coronavirus is alive for 72 hours on the surface...Lawd https://t.co/STFPiPdl1B https://t.co/tJB0dACIK7,1
308,308,308,SARS-CoV-2 can survive for weeks on surfaces.,There is no reason why we don't follow the same model as China we will have the same problems we will be quarantined they will spray and that's what bothers me is they're not telling us that it survives on surfaces for a length of time..SO THE GOVT QURNTINES &amp; SPRAYS.. -cont,1
1011,1011,1011,Coronavirus can only survive in cold temperatures.,Fair article discussing the risk factors for coronavirus spreading in India which has surprisingly only seen 3 confirmed cases. The possibility of warmer weather being a dampener on any potential spread is promising https://t.co/mU2XUjTWUq https://t.co/12K2C63A35,1
1368,1368,1368,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME @USERNAME If they mean outside of the body, then No, that's not true. Coronaviruses can survive on surfaces for several days at room temp. 

Precise data is still pending for COVID19. But it's very similar to SARS. Here's some data on temperature sensitivity of SARS
https://t.co/BOOx7VFwU0",1
873,873,873,SARS-CoV-2 can survive for weeks on surfaces.,#Coronavirus may live for days on phone screens #CoronaVirusUpdate Has anyone actually tested this? https://t.co/KKwnl8m89I,1
331,331,331,SARS-CoV-2 can survive for weeks on surfaces.,Eurosurveillance | Stability of Middle East respiratory syndrome coronavirus (MERS-CoV) under different environmental conditions https://t.co/oULqM4czlq,0
595,595,595,Coronavirus is genetically engineered.,"MUST WATCH
Applying Ockham's Razor Principle to the #COVID19 PANDEMIC 
Francis Boyle: Wuhan Coronavirus is an Offensive Biological Warfare Weapon https://t.co/T8mHIJ86P2 via @USERNAME",0
694,694,694,SARS-CoV-2 can survive for weeks on surfaces.,How long can coronavirus survive on surfaces? https://t.co/wqup90GHvL https://t.co/AXHzrvwLQ9,0
104,104,104,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME @USERNAME It's known to be transmitted thru respiratory droplets (IOW, from sneezes &amp; coughs.) Researchers still have yet to determine whether COVID19 can survive on hard surfaces &amp; if so, how long - other, apparently similar coronavirus can survive up to 9 days

https://t.co/DvJsiZwyw5 https://t.co/X7B3TUXA1k",0
155,155,155,SARS-CoV-2 can survive for weeks on surfaces.,"How long can coronavirus survive on surfaces?
https://t.co/PUvdpCNUbH",0
1034,1034,1034,SARS-CoV-2 can survive for weeks on surfaces.,"How long does the new coronavirus remain active on surfaces?
https://t.co/ryGWt2c7FB https://t.co/XiPf3wYqJI",0
534,534,534,We're very close to a vaccine.,@USERNAME @USERNAME Israel might just beat him to the cure. They are so close. They had been studying it for years in chicken and noticed it close to this version. Israeli scientists claim to be weeks away from coronavirus vaccine https://t.co/UyOcW5gk6q,0
1282,1282,1282,SARS-CoV-2 can survive for weeks on surfaces.,How long can coronavirus live on surfaces? https://t.co/v5XhrePOi3,0
1762,1762,1762,SARS-CoV-2 can survive for weeks on surfaces.,"Only thing worrying about the tweet is that they didn't use their googles. Leave ppl alone.
According to the CDC: ""In general... there is likely very low risk of spread from products or packaging that are shipped over a period of days or weeks at ambient temperatures."" https://t.co/boAxw98L6M",0
784,784,784,SARS-CoV-2 can survive for weeks on surfaces.,How long can the new coronavirus last on surfaces? https://t.co/9WiFxFos0e  That's indeed a short time for some product from China infected with the Corona virus. But what if someone sick handles the product and later a person gets infected that picks up the same Chinese goods?,0
868,868,868,SARS-CoV-2 can survive for weeks on surfaces.,"@USERNAME ""In this new study, human coronavirus 229E was rapidly inactivated on a range of copper alloys (within a few minutes for simulated fingertip contamination) and Cu/Zn brasses were very effective at lower copper concentration."" 

(a diff virus)

https://t.co/uvKYuvj10b",0
589,589,589,Coronavirus can only survive in cold temperatures.,"@USERNAME reasons this can be considered offensive:
the coronavirus cannot be retained in a parcel of any kind. when a package is shipped, the temperatures changes too much for it to actually survive. are you scared to open a parcel in fear that you may get the flu? no.",0
1170,1170,1170,SARS-CoV-2 can survive for weeks on surfaces.,How long can coronavirus survive on surfaces? | The Japan Times https://t.co/GTNn8jeyaO,0
902,902,902,Coronavirus is genetically engineered.,"Could the Coronavirus be a result of a possible population control attempt from the Chinese Gov that’s now spreading everywhere ??

Or am I smacked 🥴😂",0
1212,1212,1212,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,@USERNAME @USERNAME Gates is part owner of the lab that holds the patent for Covid19. Last year he predicted a pandemic that would ruin the economy within 3 months. Just a coincidence that HIS virus being weaponized in HIS Wuhan facility has killed thousands?,0
2073,2073,2073,Coronavirus is genetically engineered.,@USERNAME What are the chances this Coronavirus outbreak is an experiment exploring what would happen if a biological weapon were deployed?,0
576,576,576,SARS-CoV-2 can survive for weeks on surfaces.,@USERNAME Covid-19 could be contagious for 2 weeks prior to symptoms appearing. For flu it’s only 1-2 days. The rate of spread of Covid-19 could be tremendous.,0
109,109,109,SARS-CoV-2 can survive for weeks on surfaces.,"Coronavirus shuts down 2 West Coast schools. Experts aren’t certain how long the coronavirus can live outside the body, Ko said, though its cousins — SARS and MERs — can survive on surfaces up to nine days. https://t.co/yJiqlMtSA2",0
1982,1982,1982,The lifetime of SARS-CoV-2 is only 12 hours.,"This suggests that the overall clinical consequences of Covid-19 may ultimately be more akin to those of a severe seasonal influenza (which has a case fatality rate of approximately 0.1%) or a pandemic influenza (similar to those in 1957 and 1968)

https://t.co/ko1lY2VP6Y",0
1699,1699,1699,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Conspiracy aside, the Dean Koontz novel that refers to the ‘Wuhan-400’ virus as “China’s most important and dangerous new biological weapon in a decade” is EERIE asf #Coronavid19",0
510,510,510,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME From UC Health: “If you live in the US, you are much more likely to get the seasonal flu than COVID-19 at this time.” ...Which  is all I’ve been saying. Jerk.  https://t.co/DjEhmTZ69Q",0
1372,1372,1372,Coronavirus is genetically engineered.,"Coronavirus is regular flu with a fake story attached.
Climate change is a real thing but isn't man made or affected by CO2 levels. https://t.co/1HxOZGHBUB",0
153,153,153,SARS-CoV-2 can survive for weeks on surfaces.,"Thank you, Minister Mr. Gan Kim Yong- Singapore’s Health Minister, for this detailed description of how the #coronavirus is spread &amp; how long it can stay viable on surfaces 
#CoronaVirusUpdate 
#coronavirusinlagos https://t.co/k9WHBuTcVV",0
1038,1038,1038,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME In order to compare Covid-19 to non-Covid influenza, you need to make a true ""apples-to-apples"" comparison. Right now, this cannot be done because there is no vaccine for Covid-19. Absent a vaccine, we do not know how truly deadly this is or how contagious (we can only guess).",0
812,812,812,We're very close to a vaccine.,@USERNAME The COVID-19 does not have a vaccine yet. No. They’re working on it.,0
1128,1128,1128,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"@USERNAME Guys , Dean Koontz was writing about the WuHan 400 virus in.... drumroll...   1981",0
1097,1097,1097,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Partly false claim: a 1981 book predicted the coronavirus 2019 outbreak | Article [AMP] | Reuters https://t.co/rESgSD6ExH,0
1487,1487,1487,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Thought it very interesting Dean Koontz’s novel takes on Wuhan-400 back in the 80’s... the more you know!! https://t.co/6dkDPMO0H4,0
505,505,505,Coronavirus is genetically engineered.,"You can’t pay me to believe the government isn’t purposely distributing the corona virus much like the Tuskegee experiment. Population control by causing mass hysteria, xenophobia, and lack of enforcing quarantine.",0
1832,1832,1832,COVID-19 is only as deadly as the seasonal flu.,@USERNAME @USERNAME @USERNAME You have no common sense. The flu can be deadly and covid-19 can be as well.  Neither are to be ignored.,0
854,854,854,Coronavirus can only survive in cold temperatures.,Coronavirus is the true solution to climate change https://t.co/ZbB2ZJ5Vtf,0
1274,1274,1274,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"@USERNAME @USERNAME Many speculations and a bit of editing plus a big coincidence....

Partly false claim: a 1981 book predicted the coronavirus 2019 outbreak.
https://t.co/dk6cDxiava",0
1248,1248,1248,Coronavirus is genetically engineered.,"@USERNAME It’s not a hoax, it most certainly is a disease, likely unleashed by the Chinese government on its people, on purpose. Why? To get rid of dissent. 1 person has died in the USA from the coronavirus. You do realize that anywhere from 60 to 80k die in the US each year, from the flu!",0
1635,1635,1635,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME A main point of concern is that COVID-19 could become another flu. We don’t know if COVID-19 is seasonal yet, but if it is, and it spreads across the globe (which looks likely), we could easily have another flu that kills an additional 40,000 Americans/year.",0
1437,1437,1437,Coronavirus can only survive in cold temperatures.,Study finds that Coronavirus could survive up to NINE DAYS outside the body | Daily Mail Online https://t.co/8vc98XGN7Q via @USERNAME,0
1725,1725,1725,Coronavirus is caused by 5G.,The corona virus is a government made virus that is being used for population control.,0
600,600,600,SARS-CoV-2 can survive for weeks on surfaces.,"Due to the dangers of Novel Coronavirus (Covid-19) and the fact it can live for 9 days on surfaces, every sheriff department US wide has declared they will test your meth and other drugs for coronavirus at no charge to you. Retweet to pass it on. You could save a life.",0
1585,1585,1585,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME @USERNAME The virus doesn't last long on inanimate surfaces, that's why there are no official recommendations about disinfecting objects as a way to prevent coronavirus transmission",0
1838,1838,1838,We're very close to a vaccine.,"@USERNAME @USERNAME @USERNAME Right at the bottom..the Coronavirus has a morbidity rate of 0.2% for people ages 10-39  . 
That's going by information from China, based on CONFIRMED cases in hospitals. 
It's very close to the Flu morbidity rates.  The difference is, we have vaccines and medicine for flu https://t.co/0tOlZqHtKi",0
2008,2008,2008,Coronavirus is genetically engineered.,"@USERNAME Liar. He said press coverage of Covid-19 is a hoax. 

Stop lying.",0
1243,1243,1243,Coronavirus is genetically engineered.,"@USERNAME dude, Muta, the coronavirus virus conspiracy stuff is a pretty crazy ride.  from escaped bioweapon theories, to a  crazy South Korean doomsday cult potentially spreading it on purpose.  i know A LOT is speculative at best but just the CCP cover up stuff is pretty damn interesting",0
1240,1240,1240,Coronavirus can only survive in cold temperatures.,"@USERNAME @USERNAME
@USERNAME @USERNAME @USERNAME
From GP friend, #COVID2019 may survive &lt;= 7 days on a hard surface.

Coincidentally, tells me wart virus can withstand cold from liquid nitrogen... 

Hypothetically, seems that COVID-19 may be able to travel by air mail https://t.co/h349h3Uvnl",0
2093,2093,2093,Coronavirus is genetically engineered.,"@USERNAME @USERNAME Is it bioengineered? I can't say. 
Is it germ warfare? There is NO WAY China would deliberately unleash a virus that disproportionately affects Asian people, in its own country, to crash THEIR OWN ECONOMY, to MAYBE influence someone else's election.
U.S. isn't that special.",0
1047,1047,1047,COVID-19 is only as deadly as the seasonal flu.,"FYI, very few of the 2019-2020 “32-45 million” flu cases are actually confirmed.  Same for “18,000-46,000” deaths.  Thus the wide gaps in totals.  I suspect COVID-19 has always been around and like other pathogens, we’ve been blaming the flu for all of them.",0
317,317,317,Hand sanitiser sold commercially does not destroy the coronavirus.,Coronavirus checklist: 100-plus disinfectants that may kill coronavirus on surfaces  https://t.co/IGmYvCzQ2H,0
1440,1440,1440,Coronavirus can only survive in cold temperatures.,Study finds that Coronavirus could survive up to NINE DAYS outside the body | Daily Mail Online https://t.co/23yl0xv0TC via @USERNAME #COVID2019,0
524,524,524,We're very close to a vaccine.,@USERNAME Jeezus. This is clearly not going to be a viable treatment for most coronavirus sufferers. Let’s hope for a vaccine soon!,0
1825,1825,1825,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",There are far more than 300 deaths in China https://t.co/5WQ2r7qT1X,0
1748,1748,1748,We're very close to a vaccine.,"Yes, 80% of coronavirus patients will either not know they're sick or have very mild symptoms. The walk-around infecting others the 20% that will overwhelm the healthcare system. But, we're not going to test. That's just going to happen. And you're on your own.",0
1593,1593,1593,Coronavirus can only survive in cold temperatures.,How long can coronavirus survive on surfaces? https://t.co/wqup90GHvL https://t.co/AXHzrvwLQ9,0
553,553,553,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Bill Gates predicted a coronavirus-like outbreak – down to it starting at a Chinese market – in 2019 Netflix documentary show ‘The Next Pandemic’

Bill Gates has a warning about deadly epidemics https://t.co/rf5dZUGTif via @USERNAME",0
324,324,324,We're very close to a vaccine.,"Now when it comes to vaccines, as far as I know they HAVE tried creating a coronavirus vx for dogs and cats and they’re not fantastic. No one quote me on the next sentence but I’m pretty sure it’s because it mutates too often for the immune system to build adequate response.",0
1024,1024,1024,We're very close to a vaccine.,The coronavirus is advancing quickly — and so is Novavax's attempt to stop it. But it won't happen overnight. Here's the latest on what the Gaithersburg biotech is doing to develop a new vaccine. https://t.co/JCwbscxcJA,0
1569,1569,1569,COVID-19 is only as deadly as the seasonal flu.,"COVID-19: Approximately 84,119 cases worldwide; 62 cases in the U.S. as of Feb. 28, 2020.

Flu: Estimated 1 billion cases worldwide; 9.3 million to 45 million cases in the U.S. per year.",0
1538,1538,1538,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME @USERNAME @USERNAME @USERNAME 1. It's not slow-spreading. ""Currently, the R0 for SARS-CoV-2, the virus that causes the disease COVID-19, is estimated at about 2.2 ... By comparison, the flu has an R0 of 1.3.""

1/2",0
343,343,343,We're very close to a vaccine.,"@USERNAME @USERNAME @USERNAME We have a flu vaccine. Not coronavirus,  and we have someone who doesn’t believe in science in charge of this pandemic.",0
908,908,908,Africans are more resistant to coronavirus.,The 3 Chinese men who were quarantined in Jos have tested negative to Coronavirus.,0
1086,1086,1086,Coronavirus is genetically engineered.,Corona Virus didn’t kill Epstein.,0
274,274,274,We're very close to a vaccine.,"@USERNAME That's part of what my post is about.

There is a cure per say, yet we willingly refuse to take it, whereas with the coronavirus we are mobilizing everything we have.",0
56,56,56,Coronavirus is caused by 5G.,"Everything you said is true plus 1 more thing. Coronavirus is not even as deadly as the flu, but the transmission is unique and could be a generally non-lethal experiment in preparation for future germ warfare. I don't trust the Chinese, the communists or the globalists at all. https://t.co/fPuSTCp9b1",0
1893,1893,1893,Coronavirus is genetically engineered.,@USERNAME Coronavirus has been around for ages. This strain is particularly bad. That is all. Stop making things up.,0
1499,1499,1499,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME @USERNAME Is hand sanitizer effective against corona virus?  I know it had limited effectiveness against viruses, but WA DOH mentioned it as option if no ability for hand washing.",0
542,542,542,Coronavirus can only survive in cold temperatures.,Coronavirus is probably in Ghana and someone is treating it with procold tabs,0
1961,1961,1961,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME @USERNAME @USERNAME This article calls it ""novel coronavirus"". This is the same name used on a can of Lysol, not actually the new COVID-19. ""COVID-19 is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.""

https://t.co/dRPiwc1ulI",0
1458,1458,1458,We're very close to a vaccine.,"@USERNAME Donny, remember when you said the FLU was more deadly than the Coronavirus? Or that we were very close to an antidote? You're a JACKASS! #MoronInChief #LiarInChief #IMPOTUS",0
1201,1201,1201,COVID-19 is only as deadly as the seasonal flu.,"*While we do not know for sure, it is plausible that COVID-19 outbreaks become seasonally reoccurring like the flu. 5/5",0
660,660,660,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USERNAME We had also heard about culling &amp; cremating in Wuhan.,0
1379,1379,1379,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Partly false claim: a 1981 book predicted the coronavirus 2019 outbreak | Article [AMP] | Reuters https://t.co/yJOwJ1mfSD,0
1714,1714,1714,SARS-CoV-2 can survive for weeks on surfaces.,"Key finding virus has probably been present in the US for a number of weeks.
#COVID-19 #SARSCoV2 #coronavirus https://t.co/W73axGSLwu",0
1046,1046,1046,Hand sanitiser sold commercially does not destroy the coronavirus.,"Coronavirus: 'Zero' hand sanitisers, face masks at Auckland pharmacies https://t.co/Uq1XcK5zhq",0
1180,1180,1180,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USERNAME Not necessarily. Normal flu has a mortality rate of less than 0.1%. Wuhan virus has a mortality rate above 2%. Even with only 35 million infected like the infographic the difference is 35,000 deaths normal flu, 700,000 for COVID-19.",0
241,241,241,Hand sanitiser sold commercially does not destroy the coronavirus.,Does hand sanitizer work on the #coronavirus??,0
550,550,550,We're very close to a vaccine.,I’m looking forward to a #coronavirus vaccine. Hopefully soon. I will take my chances with my cranial nerves. https://t.co/fE7sgwh9tr,0
1685,1685,1685,SARS-CoV-2 can survive for weeks on surfaces.,A group of Indian scientists have discovered that Wuhan Coronavirus has been engineered with AIDS like insertions. The study concludes that it is unlikely for a virus to have acquired such unique insertions naturally in a short duration of time.,0
1923,1923,1923,Coronavirus is caused by 5G.,Coronavirus is spread via eye contact.,0
1245,1245,1245,Holy communion cannot be the cause of the spread of coronavirus,"As someone who regularly attends #catholic Mass, I WILL NOT BE TAKING THE BLOOD OF CHRIST when, as a person with a strong immune system, I might very well be carrying coronavirus without showing symptoms. If you take the chalice at #eucharist right now, you're doing Satan's work.",0
1131,1131,1131,SARS-CoV-2 can survive for weeks on surfaces.,Coronavirus Update: COVID-19 Symptoms May Only Appear After 2 Weeks Quarantine Says Studies https://t.co/krKAYbH8Wp,0
674,674,674,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USERNAME Well 2% of Wuhan population of ten million was something like 200,000 dead. Massive quarantine is what stopped that. Trump is doing nothing so the full impact of millions being infected is about to happen",0
1556,1556,1556,Coronavirus is caused by 5G.,"coronavirus is caused by eating ass, pass it on",0
1605,1605,1605,Coronavirus is genetically engineered.,Talked to an actual Dr tonight. Corona Virus is like the flu with similar mortality rates. The media are trying to create a crisis where there is none.,0
1140,1140,1140,We're very close to a vaccine.,"@USERNAME @USERNAME There’s a vaccine for flu.  In the USA you have to pay for it, most advanced countries don’t.  There’s no vaccine for coronavirus which means this virus spreads quicker and has a higher fatality rate. Plus the US have not had sufficient testing kits; it could be a time bomb.",0
1544,1544,1544,Coronavirus is genetically engineered.,"Trump thinks the Coronavirus is a hoax. 
We are all fucked.",0
1886,1886,1886,We're very close to a vaccine.,I think people trying belittle the corona virus by stating how many people die from other things are stupid. We shouldn’t down play death in any way. Like are we supposed to be like “well more people have died from cancer so let’s not worry about a vaccine until it gets that bad”,0
1333,1333,1333,Hand sanitiser sold commercially does not destroy the coronavirus.,"@USERNAME Just go buy a bottle of Lysol Disinfectant Wipes or Spray &amp; read the back label, it claims to eliminate ""Human Coronavirus."" They have known for years about this virus &amp; have an old formula collecting dust somewhere, All it probably needs is tweaked up a little to cure people.",0
234,234,234,Coronavirus is genetically engineered.,"Coronavirus is patented and has 19 going back to 1986 .
One Canine Respiratory",0
517,517,517,Coronavirus is caused by 5G.,Coronavirus was engineered to target simps. Chill.,0
1709,1709,1709,We're very close to a vaccine.,What we need right now is a vaccine for TDS long before we need one for coronavirus. https://t.co/NudgeLMnOY,0
1887,1887,1887,Coronavirus is genetically engineered.,"What if this COVID-19 is being used as a diversion to cover up for this monster in our system spreading radiation. For all we know everyone getting sick could be due to radiation poisoning, along with the virus.  Chemtrailing had been crazy as of late https://t.co/OiQeKa7ATg",0
729,729,729,Coronavirus is genetically engineered.,"@USERNAME In other words, AmeriKKKa is using COVID-19 as a biological weapon against Iran and got f*cked because PRC doesn't bow down to their interests",0
27,27,27,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"I don't want that crap in me either, but maybe they're using this whole ""outbreak"" to break the idea into the scene. And maybe they'll advertise the ""answer"" to the ""pandemic"" is a tech-biology interface too. 

We are free to refuse. This is downright biblical, mark of the beast.",0
1877,1877,1877,COVID-19 is only as deadly as the seasonal flu.,"@USERNAME @USERNAME I assume at this point covid-19 will becomes a recurring, perhaps seasonal, occurrence that will be with us from now on, like the flu is. Given it's a corona virus i'd expect it to mutate rapidly like the cold does and evade any attempts to long-term vaccinate.",0
1447,1447,1447,Holy communion cannot be the cause of the spread of coronavirus,I pray for supernatural intervention of God to stop the spread of this corona virus and heal those afflicted by it. I pray for divine protection that the disease will Passover in Jesus name,0
662,662,662,Coronavirus can only survive in cold temperatures.,"Fact
Its a virus
Fact coronavirus has been around for years....read the back of your spray lysol can it kills it.
Fact
Common cold and yearly flu can kill you. 
Fact yearly flu has killed between 25000&amp;85000 per yr.
Fact this is no different https://t.co/rmxZZdXg7A",0
337,337,337,Coronavirus is genetically engineered.,@USERNAME Open your eyes to reality. Coronavirus is real because SCIENCE.,0
1675,1675,1675,Holy communion cannot be the cause of the spread of coronavirus,"Mass tonight, priest read archdiocese statement re combating coronavirus: emptied holy water fonts, discontinued hand holding for Lord's prayer, no sign of peace, no communion wine, no communion on tongue...in other words what I've done to avoid getting sick for DS last 10 years.",0
1374,1374,1374,Coronavirus is genetically engineered.,"@USERNAME The virus story is suspicious, btwn China and Iran are 7 very interconnected countries including populous India. Either most of these countries bordering China and Iran are covering up or the virus dislikes them. Corona virus is a biological weapon gone wrong.",0
464,464,464,Coronavirus is genetically engineered.,"Water, electricity, and now Internet being shut down in Wuhan, the epicenter of the coronavirus. Do you still think this is ""just"" a virus? Or, is it truly what I made it out to be: bioweapon research???",0
