id,premise,text;
96,face masks,What a time to be alive ... #CoronaOutbreak;
97,face masks,If 2020 was a person #COVIDー19 #coronavirus HTTPURL;
98,face masks,Your daily #COVID19 reminder : HTTPURL;
99,face masks,It be like that #coronavirus HTTPURL;
100,school closures,Why are the schools still open in Australia #Coronavirus;
101,school closures,#Coronavirus Stay Safe;
102,school closures,Stay home #Coronavirus;
103,school closures,OPEN THE SCHOOLS ! ! ! @USER #COVID19;
"104,school closures,""Our schools are closed now for good , no graduations , sad . #COVID19""";
105,school closures,#Coronavirus be safe;
"106,school closures,""Meanwhile , UK gov't keeps schools open until further notice #Covid_19""";
107,school closures,Nobody cares #Coronavirus;
108,school closures,Stay at home guys keep safe #coronavirus;
109,school closures,Overreacting get me back to school #Coronavirus;
110,school closures,@USER Open Schools when it is SAFE . Period . #coronavirus;
111,school closures,So scary #Coronavirus;
112,school closures,Stay safe everyone #Covid_19;
113,school closures,Getting snacks #covid19 HTTPURL;
114,school closures,#texas shutting down again due to #COVID19;
115,school closures,#Coronavirus in care homes ? HTTPURL;
116,school closures,So are the schools closing or not #coronavirus is ending me mentally;
117,school closures,Be safe stay safe #corona;
118,school closures,I miss sports #coronavirus;
119,school closures,Why Masks ? #COVID19 HTTPURL;
120,school closures,What a waste #coronavirus;
121,school closures,Prayers only n staying at home #Coronavirus;
122,school closures,#COVID19 3 more weeks & counting HTTPURL;
123,school closures,Staying home saves lives #StayHome #COVID19;
124,school closures,new normal #COVID19 HTTPURL;
125,school closures,Stay safe everyone #COVID19 HTTPURL;
126,school closures,@USER And they want our kids to go back to school #Covid;
127,school closures,Some schools in Quebec open today #CCPvirus #COVID19 HTTPURL;
128,school closures, Whatever it takes  #coronavirus;
129,school closures,All primary schools closed in Let till further orders #Coronavirus;
130,school closures,We are help #coronavirus;
131,school closures,Isolation is key . #Coronavirus;
132,school closures,They are trying to kill us .. stay inside #Coronavirus;
133,school closures,No masks = stay closed until a vaccine available . #WeAreDoneDying #covid19 HTTPURL;
134,school closures,Even more perspective . #coronavirus HTTPURL;
135,school closures,#Coronavirus share please;
"136,school closures,""#ImpeachTrumpAgain Keep kids at home from schools , we need to keep or kids and staff safe . #COVID19 #Trumpdemic""";
137,school closures,Stay the fuck at home #COVID19 HTTPURL;
138,school closures,Framework for reopening schools HTTPURL #Covid_19 #education #future;
139,school closures,CMO : close to 9 schools closed so far . #COVID19;
140,school closures,Stay home Stay safe #Covid19 HTTPURL;
141,school closures,Looking at options for the fall when the kids go back to school #covid19 HTTPURL;
142,school closures,Truth ! #coronavirus HTTPURL;
143,school closures,Truth ! #coronavirus HTTPURL;
144,school closures,At least the horses are running #coronavirus;
145,school closures,Social Distancing #COVID19 HTTPURL;
146,school closures,Your daily #COVID19 reminder : HTTPURL;
147,school closures,Keeping the retailers honest . #COVID19 HTTPURL;
148,school closures,#Immigration #covid19 We are all in this together HTTPURL;
149,school closures,Wait fuck that #coronavirus;
150,school closures,Stay safe . #CoronaOutbreak;
151,school closures,Hot boys and girls are safe #Coronavirus;
152,school closures,#Corona is not fake;
153,school closures,Stay home and keep your families safe ! #coronavirus #staysafe HTTPURL;
154,school closures,Should schools reopen ? #COVID19 #RemoteLearning #GoBackToSchool;
155,school closures,Is the rush to reopen #schools worth the risk ? #Covid19 #health HTTPURL;
156,school closures,Why have n't schools closed yet ? ? Least proactive government amid the #CoronavirusOutbreak;
"157,school closures,""@USER Man , fuck this book ! Close your schools ! #coronavirus""";
158,school closures,Asian lives matter #coronavirus;
159,school closures,Teachers demand explanation on why schools must remain open HTTPURL #Teachers #Education #Schools #CoronaVirus;
"160,school closures,""PA #Coronavirus Updates : Cases Double , All Schools Closed HTTPURL""";
161,school closures,PLEASE STAY AT HOME #COVID19 HTTPURL;
162,school closures,Some raw facts . #COVID19 HTTPURL;
163,school closures,March back to schools . The economy demands sacrifice . #COVID19 HTTPURL;
164,school closures,When schools reopened but you stick to #homeschooling #lockdown #coronavirus HTTPURL;
165,school closures,Life goes on #corona HTTPURL;
166,school closures,After #Coronavirus China School open ! HTTPURL;
167,school closures,Who is so done with #Coronavirus;
168,school closures,. Yeah #Coronavirus;
"169,school closures,""Stay safe , my dear friends ! #Corona""";
170,school closures,God help us . #Coronavirus;
171,school closures,This part interesting #Coronavirus HTTPURL;
172,school closures,Our Ghanaian borders remain closed until further notice ! #COVID19;
173,school closures,Everyone going #BacktoSchool after quarantine #COVID19 HTTPURL;
174,school closures,Why not #coronavirus HTTPURL;
175,school closures,Happy Sunday #covid19 HTTPURL;
176,school closures,Lock down with my family #coronavirus;
177,school closures,Are you scared of #COVID19;
178,school closures,Why I 'm Still In Quarantine #covid19 #quarantine #notgoingout HTTPURL;
179,school closures,Parents when they hear the schools will stay open #schoolclosures #CoronavirusPandemic #Covid_19 HTTPURL;
180,school closures,Attack China #Coronavirus;
181,school closures,True that ! #CoronaVirus HTTPURL;
182,school closures,Remember to stay safe and wash your hands ! #coronavirus;
183,school closures,Talk is cheap #CoronaVirus HTTPURL;
184,school closures,@USER Those beaches are all closed because of #COVID19;
185,school closures,@USER #Corona free;
"186,school closures,""Releasing criminals , locking up innocents #coronavirus""";
187,school closures,. EDUCATION IS KNOWLEDGE #coronavirus HTTPURL;
188,school closures,#coronavirus this is lit HTTPURL;
189,school closures,#CoronaVirusUpdate : STAY THE FUCK INSIDE;
190,school closures,They suggest : stay home : #COVID19 HTTPURL;
191,school closures,#COVID19 #2020 # known by everyone;
192,school closures,I am going crazy #Corona;
193,school closures,Saturday at the playground #Covid_19 HTTPURL;
194,school closures,#CoronaVirus Update HTTPURL;
195,school closures,Most workers must #stayHome #CoronaVirusUpdate HTTPURL;
196,school closures,Teachers call for routine #COVID19 testing when the schools go back next week HTTPURL;
197,school closures,When Nature kicks Back #COVID19 HTTPURL;
198,school closures,@USER No gatherings #COVID19;
199,school closures,Be safe guys #BeSafe #Covid_19 HTTPURL;
200,fauci,“ The data is real . The models are hypothesis . ” Dr . Anthony Fauci #COVID19 #coronavirus;
"201,fauci,""The top infectious disease expert in the US , Dr . Anthony S . Fauci , and three other top government doctors are set to testify before the Senate Health Committee on Tuesday . Dr . Fauci will use his time ... HTTPURL #Fauci #Senate #US #COVID-19""";
202,fauci,A must see update ! - “ Dr . Anthony Fauci discusses the coronavirus ... ” HTTPURL #COVID19 #pandemic @USER;
203,fauci,Dr . Anthony Fauci Says U . S . ' Obviously ' Could Have Saved Lives by Starting Coronavirus Mitigation Earlier . #coronavirus @USER #drfauci;
204,fauci,I 'm very disappointed with Dr . #Fauci . He needs to stop performing in the White House #coronavirus gaslighting show .;
"205,fauci,""Everybody should watch this . Thursday 's conversation on the COVID - 19 epidemic between NBA star Stephen Curry and Dr . Anthony Fauci , director of the National Institute of Allergy and Infectious Diseases . HTTPURL #COVID2019 #coronavirus""";
206,fauci,“ I believe it will occur . ” Dr . Anthony Fauci tells @USER when she asks at a House heading if a #covid19 vaccine will be a reality .;
207,fauci,Dr . Fauci is a silver fox . #coronavirus;
208,fauci,@USER Thank you Dr Fauci for talking about this ! #COVID19 #NIAID;
209,fauci,@USER Trump keeps going against the top Coronavirus expert in the entire USA . That expert is from the NIH : #AnthonyFauci #DrFauci #Fauci #NIH #FauciFacts #coronavirus #COVID19 HTTPURL;
210,fauci,Dr . Anthony Fauci has been sighted on the Today Show this morning . Whew . #COVID19 HTTPURL;
211,fauci,COVID - 19 Update – Anthony Fauci from @USER discusses the latest developments in the global spread of #COVID19 and the SARS-CoV - 2 virus with JAMA Editor Howard Bauchner . #Covid_19 #SARSCoV2 #coronavirus #JAMALive HTTPURL;
212,fauci,Dr . Anthony Fauci is my HERO . PERIOD . #NIH @USER #CDC @USER #Fauci #AnthonyFauci #FauciHearing #FauciIsAHero #DrAnthonyFauci #ThankYouDrFauci #OurVoiceOfReason #COVID #COVID19 #Covid_19 #Covid_19 #CoronaVirus #CoronaWarriors #CoronavirusUSA #TrumpVirus :microbe: HTTPURL;
213,fauci,@USER #COVID19 #SenateHearing We should ' pause ' Dr . #Fauci paycheck until the nation gets back to work .;
214,fauci,Live : Fauci and too health experts testifying on U . S . virus response #COVID19 HTTPURL;
215,fauci,New recommendation from Anthony Fauci . #coronavirus HTTPURL;
216,fauci,@USER It makes sense if you have a financial interest in the #COVID #vaccine ! #FauciFraud #Fauci;
"217,fauci,"" You got to understand , you do n't make the timeline , the virus makes the timeline .  - Dr . Anthony Fauci #COVID19""";
218,fauci,thank you Dr #Fauci 67 % of #Americans trust you . #FauciIsAHero only 33 % think @USER has handled the #coronavirus well .;
"219,fauci,""Dr . Fauci predicats another #coronavirus outbreak in the fall . Fortunately , the nation will be better prepared . @USER #covid-19 HTTPURL""";
220,fauci,Interesting : HTTPURL #COVID19 #remdesivir #Fauci;
"221,fauci,""Alright , POTUS . Step aside and let Dr . Fauci on the mic . #CoronaVirusUpdate""";
"222,fauci,""It 's been 2 months since Dr.Fauci briefed Trump and since then the US death toll has almost doubled ( 79,528 vs . 133,885 ) . Dr.Fauci is the leading infectious advisor in the country and served under 6 presidents ! #DrFauci #covid19 #ListenToFauci HTTPURL""";
"223,fauci,""Shameful what Trump , WH and his cronies are doing to Dr . Fauci . @USER #IStandWithFauci #TrumpCoronavirusFailure #COVID19""";
224,fauci,Dr . Fauci anticipates coronavirus outbreak in the fall #coronavirus HTTPURL;
225,fauci,Doctor Mike gets ... Dr . Fauci on the podcast ! #COVID19 HTTPURL;
226,fauci,Dr Anthony Fauci said tonight  it 's UNFORTUNATE that #USA response to #coronavirus #COVID19 got off to a slow start  ... NO #DrFauci it 's not UNFORTUNATE it 's #Trump 's INCOMPETENCE ! !;
"227,fauci,""If the Idiot-in-Chief fires Dr . Fauci , we are all fucked ! #COVID19""";
228,fauci,Fauci 's opinion and direction is all that matters right now . #Coronavirus;
"229,fauci,"" The risk is not just isolated to you  Dr . #AnthonyFauci , director of the National Institute of Allergy and Infectious Diseases in the #US , explains the problem of transmission in a #pandemic . #coronavirus #Covid_19 HTTPURL""";
"230,fauci,""Fauci recommends shutting down Arizona , Florida , and Texas . #covid19 #trump #fauci #mask HTTPURL""";
231,fauci,#DrFauci #Covid_19 Dr . Fauci Says This Is Exactly Where the U . S . Went Wrong With COVID HTTPURL #SmartNews;
232,fauci, There will be a surprise outbreak  - Dr . #Fauci in 2017 . HTTPURL #COVID19 #Coronavirus #Fascism #Neoliberal;
233,fauci,Dr . Anthony #Fauci noted that a new mutation could spread the virus faster and make things much worse . #COVID19 #Health #PublicHealthCrisis HTTPURL;
234,fauci,@USER #StandWithFauci #COVID19 is real #TrustFauci;
"235,fauci,"" Anthony Fauci , director of the National Institute of Allergy and Infectious Disease , recently estimated that between 25 % and 50 % of people infected with the coronavirus never show symptoms .  HTTPURL #coronavirus #Covid_19 #COVID19""";
"236,fauci,""Dr . Anthony Fauci :  While wearing a mask is not  100 % effective , it is a valuable safeguard and shows  respect for another person  .  Please do wear a mask when out and about . HTTPURL #CoronaVirus #COVID19 #pandemic""";
237,fauci,The Supreme Court has decided : Dr . #Fauci should grow a beard #COVID19;
238,fauci,The MVP 's during this are @USER & Dr.Fauci #DrFauci #GovCuomo #CVOID19 #CoronavirusPandemic #coronavirus #CoronavirusNewYork HTTPURL;
239,fauci,The House Energy and Commerce Committee 's #Covid19 hearing with Dr . Fauci and other top health officials is starting . What here : HTTPURL;
240,fauci,Dr Anthony Fauci missed retirement by about 4 months #COVID19;
241,fauci,#DrFauci #DrBirx @USER #COVID19 Please #SocialDistance during your daily news conferences .;
242,fauci,Lindsey Graham issues rare REBUKE off Trump as he defends Dr . Fauci over ... HTTPURL via @USER #COVID19 #Fauci;
"243,fauci,""When reporter asks Fauci about medical evidence of #hydroxychloroquine in #COVID19 , Trump steps in & says reporters have asked 15 times . Fauci stands there & does n't answer reporters .""";
244,fauci,See the @USER paper Dr . Anthony Fauci highlighted to Congress to explain the importance of #Tcellimmunity — and other new #COVID19 research : HTTPURL;
"245,fauci,""“ The Trump administration has largely sought to ignore the pandemic . On Friday , the nation 's top infectious disease expert , Dr Anthony Fauci , told the Financial Times he had not directly briefed the president in two months . ” #ResignTrump #COVID19 #coronavirus""";
"246,fauci,""@USER Salute and so much respect , Doc #COVID19 #coronavirus Dr . Fauci deserves respect and our attention #IMPOTUS does not""";
"247,fauci,""#CoronavirusFactCheck From Dr . Fauci : There is still “ no definitely proven drug that is effective against this disease , ” despite Trump 's claims to the contrary . Anthony Fauci Debunks The Biggest #Coronavirus Myths #COVID19 #StayAtHomeAndStaySafe HTTPURL""";
"248,fauci,""Anthony Fauci needs to be the person who gets in front of the camera every day . He 's honest , brilliant , and knows what he 's talking about . I 'm sure the obese tangerine will fire him by happy hour . #COVID #MorningJoe""";
249,fauci,#CoronaVirusUpdate Dr . Fauci 's speaks with Congressional Black Caucus about health outcome disparities among African Americans;
"250,fauci,""Trump takes aim at Dr . Fauci , other medical experts as #COVID19 rages in US HTTPURL""";
"251,fauci,""#BREAKING US gov't #Coronavirus Task Force presser : NIH 's Dr . Anthony #Fauci says  as sobering and as difficult as this is , what we are doing is making a difference .  Adds that #SocialDistancing needs to continue . #COVID19 #FlattenTheCurve #SlowTheSpread""";
252,fauci,Where is Dr Fauci ? Where is Dr Fauci ? Where is Dr Fauci ? Where is Dr Fauci ? Where is Dr Fauci ? Where is Dr Fauci ? Where is Dr Fauci ? Where is Dr Fauci ? making trend worldwide :eyes: #DrFauci #coronavirus #COVID19 #PressConference HTTPURL;
253,fauci,The White House is trying to discredit #AnthonyFauci as the number of #coronavirus cases surge ... HTTPURL;
"254,fauci,""Dr . Fauci , whose guidance to President Trump has resulted in a near total lockdown of the country , recently published an editorial in New England Journal of Medicine that rightly points out serious flaws in his own doom-and-gloom #COVID-19 fatality projections .""";
"255,fauci,""Preliminary results from a U . S . government trial showing that patients given remdesivir recovered 31 % faster than those given a placebo , were hailed by Dr . Anthony Fauci as “ highly significant . ” #COVID19 #COVID__19 HTTPURL""";
"256,fauci,""Fauci says Americans should never shake hands again . But grabbing pussy still OK , ⁦ Trump ⁩ declares . #fauci ⁦ @USER ⁩ #coronavirus #corona #coronapocalypse #MeToo HTTPURL""";
"257,fauci,""What Covid 19 stats are the truth ? One day Dr Fauci say the high end death rate is 100,000 ";" the next day it 's 200,000 . Just give us the facts ! #Covid_19 # r . Anthony Fauci"""
258,fauci,#Fauci highlights need for resources in minority communities hit harder by #Covid19 HTTPURL;
"259,fauci,""Well , this is n't good news , but ... HTTPURL #COVID__19 #COVID19 #COVID19Pandemic #coronavirus #Fauci #trumpcovidfails #TrumpVirus HTTPURL""";
"260,fauci,""If you value the host of  Love Connection 's  medical knowledge over that of Dr . Fauci , please ... seek help . #Fauci #ChuckWoolery #COVID #COVIDIOTS""";
261,fauci,Can someone tell the fat orange guy to shut up so I can listen to Dr . Fauci #COVID19;
"262,fauci,""Dr . Fauci , working on @USER #coronavirus team advises high risk people to avoid crowds , expect quarantines . Expect quarantines ! In the US ! This is reality . Coronavirus is a #BioWeapon #WWG1WGA HTTPURL""";
"263,fauci,""Time to turn off mute , Dr . Fauci speaking . #CoronavirusPandemic #CoronaCrisis #Covid_19 #TrumpVirus""";
264,fauci,@USER Nor am I . Give me #DrFauci . #Covid_19;
"265,fauci,""@USER Anthony Fauci must be commended for speaking the truth , even when the news is bad . #COVID19 #coronavirus #BloodOnHisHands #clustertrump #StayHome #CantFixStupid #CoronavirusOutbreak #Fauci #TruthMatters""";
"266,fauci,""Dr . Anthony Fauci appeared before a US Senate Committee today to warn Senators against opening the country after the coronavirus outbreak . Opening too soon - before a vaccine - will bring needless death and suffering , he said . HTTPURL #COVIDー19 #Covid_19""";
267,fauci,Thank goodness we have a person that can clearly tell us what 's going on . Thank you #DrFauci ! ! ! #Covid_19;
"268,fauci,""Uh , is anyone worried about Dr Fauci ? Watching the #CoronaVirusUpdate and he 's not looking great . Ca n't tell if it 's from Trump 's horrible statements or not though .""";
"269,fauci,""I feel so sorry for Dr . Anthony Fauci . He should have known that #ETTD . His reputation is being used by a snake oil salesman , Donald Trump and now , he is losing credibility . #Covid_19 #CoronavirusPandemic #coronavirus #CoronaCrisis""";
270,fauci,Poll : Dr . Fauci and Gov . Cuomo Are The Most Trusted Leaders on #Coronavirus HTTPURL via @USER;
"271,fauci,""On 7/14/2020 , Dr . Fauci provided a transparent and honest assessment of the risks of reopening schools vs . universities and the fundamental principles that should be taken under consideration . #Perspective #Covid19 #PerspectiveCovid19 View here : HTTPURL""";
"272,fauci,""Assuming that Dr . Anthony Fauci has family / social values , I expect him to say “ If you have an underlying condition or people close to you with underlying condition .. ” , not just “ If YOU have underlying condition . ” #Containment #COVID19 #coronavirus #travel @USER""";
"273,fauci,"". @USER asks the questions we want answered and Dr . Fauci gives clear , informative , no BS answers . Best interview ever . #TheDailyShow #Coronavirus HTTPURL""";
"274,fauci,""#Covid19 - CDC failed us , Dr . Fauci failed us , and Governors of certain states failed us . All led to the death of seniors . No mention of protecting nursing homes was uttered . CDC failed . HTTPURL Dr . Fauci failed . HTTPURL""";
275,fauci,#America 's top infectious diseases expert #AnthonyFauci cautioned on Tuesday that it would be a  bridge too far  to think that #COVID19 treatment or vaccines would be ready in time HTTPURL;
"276,fauci,""FLASHBACK TO 1.21/20 #FauciTheFraud  BOTTOMLINE We do n't have to worry about this one , right ?  @USER  THIS IS NOT A MAJOR THREAT ( RIGHT NOW ) TO THE AMERICAN PEOPLE .  #Fauci #COVID19 : For Those Just Joining In To The Truth . HTTPURL""";
"277,fauci,""Dr . #Fauci :  You Do n't Make The Timeline , The Virus Makes The Timeline  HTTPURL #coronavirus #covid19 #trump #italy #china""";
"278,fauci,""“ We 're currently dealing with a public health crisis , and the most important thing that people can do right now is listen to the scientific evidence ” . - Anthony Fauci #Science #NotPseudoscience #Evidence #Pandemics #COVID19""";
"279,fauci,""Anthony Fauci . Arms crossed : resistant , defensive , doubtful . #BodyLanguage #coronavirus #CoronaOutbreak HTTPURL""";
280,fauci,Dr . Anthony Fauci is pretty excited about remdesivir - what is it and what can it do for COVID - 19 ? #AnthonyFauci #clinicaldrugtrials #remdesivir #COVID19 #coronavirus #promisingCOVIDdrug #NIH #CoronavirusTaskForce #loweredmortalityrates #hope #kindness HTTPURL HTTPURL;
281,fauci,@USER Dr . Fauci Is Full Of S * * t . :rolling_on_the_floor_laughing: Quit Fueling The Fire With Made Up Numbers Dude . He Is What 's Wrong With America Right Now . #Coronavirus #CARESAct HTTPURL;
"282,fauci,""@USER Difficult choice between who to believe , Dr . Fauci , or a kid with bankruptcies , rape allegations , and over 18,000 lies disproven . #COVIDー19 #coronavirus #fucktopotamus #FocusOnTheTrumpDeathToll100K HTTPURL""";
283,fauci,LPD strongly encourages #SocialDistanacing and here is why ... #anthonyfauci and #StephenCurry one-on-one conversation about #COVID19 Link : HTTPURL HTTPURL;
"284,fauci,""Treacherous Times : As the Trump White House attacks the government 's top infectious disease expert , “ What 's happening to Dr . Fauci ? ” has become an urgent topic in Washington and in science and medical circles , by @USER HTTPURL via @USER #Covid19""";
"285,fauci,""I hate to Tweet this , but I 'm coming to the conclusion that #Fauci is the @USER of the U . S . government health superstructure . Perhaps , in his own mind , he means well or can rationalize that what he 's doing is right . But Fauci is moralistic & imperious . Dangerous . #COVID @USER""";
"286,fauci,""#DrFauci is a fact-spewing national treasure , and @USER on @USER is the best . Watch this and be smart . HTTPURL via @USER #DrFauciIsANationalHero #COVID19""";
"287,fauci,""( Cont . ) You know who was apart of that program from 2010-2019 as well , Dr . #Fauci . Now , look who is front and center for the #Coronavirus ! Y'all better realize these wolves :wolf_face: in sheep clothing !""";
288,fauci,Excellent ⁦ @USER ⁩ interview discussing the next steps in the #COVID19 fight and why we can not be distracted now Fauci : No scientific evidence the coronavirus was made in a Chinese lab HTTPURL;
"289,fauci,""New York Times : Fauci Back at the White House , a Day After Trump Aides Tried to Undermine Him - HTTPURL #coronavirus #Fauci""";
290,fauci,Dr . Fauci is 100 % on the chopping block after laughing at Donald behind his back . His expressions are exactly what we feel listening to that idiot every day . It 's too bad Donald does n't respect or care about reality or science . #LegendaryFauci #CoronaVirusUpdate #Fauci2020;
291,fauci,Does anyone else find these photos suspicious ? George Soros & Dr . Fauci together ? Dr . Fauci in 2017 saying Trump will face a surprise outbreak pandemic ? #Plandemic #COVID19 #Coronavirus #Pandemic #Conspiracy HTTPURL;
"292,fauci,""“ It 's true testing has improved , But when you start seeing more hospitalizations , Thats a surefire sign that you 're in a situation where You are going in the WRONG DIRECTION ! ” Dr . Anthony Fauci #WearAMask #SocialDistance #AvoidCrowds #Covid_19 HTTPURL""";
"293,fauci,""Looking at polls saying most Americans would not use a #COVID19 vaccine once available , Dr . Fauci notes that it 's unlikely the introduction of a #vaccine would result in herd immunity . HTTPURL HTTPURL""";
"294,fauci,""Watch Rep . Jim Jordan ( R-Ohio ) try to badger and bully Dr . Anthony Fauci at today 's House hearing on #Covid19 . ( Jordan fails to do anything except be rude , obnoxious , and uninterested in science or public health . ) HTTPURL""";
"295,fauci,""Dr . #Fauci says as many as 200,000 #Americans could die from the #coronavirus - MarketWatch HTTPURL""";
296,fauci,Should Dr . Fauci and Dr . Birx be investigated for their involvement with the corona virus lockdown ? #RETWEEET #coronavirus;
